Student_ID,Absences,Study_Time
1001,0.0,1-2 hours
1002,2.0,<1 hour
1003,6.0,>4 hours
1004,2.0,1-2 hours
1005,3.0,1-2 hours
1006,3.0,2-4 hours
1007,4.0,>4 hours
1008,2.0,<1 hour
1009,2.0,<1 hour
1010,3.0,>4 hours
1011,4.0,>4 hours
1012,5.0,1-2 hours
1013,6.0,2-4 hours
1014,0.0,2-4 hours
1015,3.0,2-4 hours
1016,2.0,>4 hours
1017,5.0,2-4 hours
1018,4.0,1-2 hours
1019,1.0,>4 hours
1020,1.0,>4 hours
1021,2.0,2-4 hours
1022,2.0,<1 hour
1023,2.0,<1 hour
1024,3.0,1-2 hours
1025,0.0,2-4 hours
1026,0.0,2-4 hours
1027,3.0,>4 hours
1028,2.0,>4 hours
1029,5.0,2-4 hours
1030,4.0,>4 hours
1031,1.0,2-4 hours
1032,4.0,1-2 hours
1033,6.0,>4 hours
1034,2.0,2-4 hours
1035,1.0,>4 hours
1036,4.0,1-2 hours
1037,6.0,>4 hours
1038,2.0,2-4 hours
1039,5.0,>4 hours
1040,,>4 hours
1041,1.0,2-4 hours
1042,1.0,<1 hour
1043,1.0,>4 hours
1044,1.0,>4 hours
1045,2.0,1-2 hours
1046,2.0,<1 hour
1047,1.0,1-2 hours
1048,1.0,2-4 hours
1049,3.0,2-4 hours
1050,3.0,1-2 hours
1051,1.0,>4 hours
1052,3.0,<1 hour
1053,4.0,1-2 hours
1054,3.0,1-2 hours
1055,3.0,2-4 hours
1056,5.0,>4 hours
1057,2.0,<1 hour
1058,1.0,1-2 hours
1059,1.0,<1 hour
1060,3.0,<1 hour
1061,2.0,1-2 hours
1062,6.0,<1 hour
1063,0.0,2-4 hours
1064,3.0,>4 hours
1065,4.0,>4 hours
1066,5.0,>4 hours
1067,1.0,2-4 hours
1068,2.0,2-4 hours
1069,2.0,2-4 hours
1070,2.0,>4 hours
1071,4.0,<1 hour
1072,3.0,2-4 hours
1073,2.0,1-2 hours
1074,1.0,2-4 hours
1075,2.0,1-2 hours
1076,4.0,>4 hours
1077,3.0,1-2 hours
1078,4.0,2-4 hours
1079,2.0,2-4 hours
1080,3.0,<1 hour
1081,0.0,>4 hours
1082,3.0,1-2 hours
1083,3.0,>4 hours
1084,3.0,2-4 hours
1085,1.0,<1 hour
1086,3.0,2-4 hours
1087,1.0,2-4 hours
1088,4.0,2-4 hours
1089,0.0,1-2 hours
1090,4.0,2-4 hours
1091,3.0,>4 hours
1092,2.0,>4 hours
1093,2.0,<1 hour
1094,4.0,>4 hours
1095,3.0,2-4 hours
1096,3.0,2-4 hours
1097,3.0,>4 hours
1098,7.0,<1 hour
1099,6.0,<1 hour
1100,2.0,>4 hours
1101,0.0,1-2 hours
1102,3.0,1-2 hours
1103,4.0,1-2 hours
1104,1.0,1-2 hours
1105,1.0,>4 hours
1106,6.0,<1 hour
1107,8.0,2-4 hours
1108,1.0,2-4 hours
1109,2.0,>4 hours
1110,4.0,2-4 hours
1111,4.0,1-2 hours
1112,4.0,<1 hour
1113,2.0,>4 hours
1114,5.0,<1 hour
1115,5.0,>4 hours
1116,2.0,>4 hours
1117,2.0,>4 hours
1118,6.0,>4 hours
1119,7.0,<1 hour
1120,2.0,2-4 hours
1121,3.0,>4 hours
