Student_ID,Subject_ID,Score
1001,1,67.0
1001,2,46.0
1001,3,74.0
1001,4,94.0
1001,5,67.0
1001,6,53.0
1002,1,95.0
1002,2,49.0
1002,3,55.0
1002,4,55.0
1002,5,93.0
1002,6,70.0
1003,1,81.0
1003,2,64.0
1003,3,52.0
1003,4,45.0
1003,5,83.0
1003,6,48.0
1004,1,84.0
1004,2,75.0
1004,3,95.0
1004,4,82.0
1004,5,59.0
1004,6,57.0
1005,1,97.0
1005,2,82.0
1005,3,96.0
1005,4,60.0
1005,5,43.0
1005,6,89.0
1006,1,72.0
1006,2,66.0
1006,3,46.0
1006,4,
1006,5,54.0
1006,6,
1007,1,71.0
1007,2,95.0
1007,3,50.0
1007,4,59.0
1007,5,63.0
1007,6,54.0
1008,1,87.0
1008,2,46.0
1008,3,60.0
1008,4,81.0
1008,5,65.0
1008,6,83.0
1009,1,95.0
1009,2,53.0
1009,3,96.0
1009,4,76.0
1009,5,97.0
1009,6,60.0
1010,1,57.0
1010,2,44.0
1010,3,42.0
1010,4,62.0
1010,5,65.0
1010,6,76.0
1011,1,63.0
1011,2,88.0
1011,3,58.0
1011,4,90.0
1011,5,64.0
1011,6,60.0
1012,1,51.0
1012,2,96.0
1012,3,80.0
1012,4,72.0
1012,5,89.0
1012,6,92.0
1013,1,43.0
1013,2,81.0
1013,3,96.0
1013,4,46.0
1013,5,61.0
1013,6,94.0
1014,1,72.0
1014,2,56.0
1014,3,63.0
1014,4,73.0
1014,5,67.0
1014,6,97.0
1015,1,82.0
1015,2,80.0
1015,3,78.0
1015,4,61.0
1015,5,88.0
1015,6,56.0
1016,1,73.0
1016,2,45.0
1016,3,85.0
1016,4,45.0
1016,5,73.0
1016,6,40.0
1017,1,49.0
1017,2,
1017,3,44.0
1017,4,41.0
1017,5,61.0
1017,6,87.0
1018,1,96.0
1018,2,41.0
1018,3,49.0
1018,4,73.0
1018,5,55.0
1018,6,87.0
1019,1,90.0
1019,2,78.0
1019,3,61.0
1019,4,51.0
1019,5,63.0
1019,6,86.0
1020,1,79.0
1020,2,77.0
1020,3,99.0
1020,4,98.0
1020,5,49.0
1020,6,74.0
1021,1,90.0
1021,2,88.0
1021,3,71.0
1021,4,46.0
1021,5,60.0
1021,6,59.0
1022,1,65.0
1022,2,43.0
1022,3,85.0
1022,4,91.0
1022,5,61.0
1022,6,54.0
1023,1,95.0
1023,2,79.0
1023,3,60.0
1023,4,54.0
1023,5,61.0
1023,6,91.0
1024,1,67.0
1024,2,53.0
1024,3,66.0
1024,4,80.0
1024,5,79.0
1024,6,97.0
1025,1,67.0
1025,2,65.0
1025,3,88.0
1025,4,41.0
1025,5,64.0
1025,6,95.0
1026,1,42.0
1026,2,47.0
1026,3,83.0
1026,4,72.0
1026,5,81.0
1026,6,91.0
1027,1,74.0
1027,2,45.0
1027,3,78.0
1027,4,91.0
1027,5,62.0
1027,6,64.0
1028,1,98.0
1028,2,89.0
1028,3,82.0
1028,4,58.0
1028,5,44.0
1028,6,90.0
1029,1,50.0
1029,2,95.0
1029,3,51.0
1029,4,49.0
1029,5,47.0
1029,6,63.0
1030,1,99.0
1030,2,67.0
1030,3,80.0
1030,4,75.0
1030,5,76.0
1030,6,60.0
1031,1,47.0
1031,2,94.0
1031,3,48.0
1031,4,86.0
1031,5,54.0
1031,6,87.0
1032,1,85.0
1032,2,79.0
1032,3,57.0
1032,4,81.0
1032,5,99.0
1032,6,59.0
1033,1,45.0
1033,2,51.0
1033,3,41.0
1033,4,46.0
1033,5,55.0
1033,6,42.0
1034,1,84.0
1034,2,42.0
1034,3,66.0
1034,4,89.0
1034,5,82.0
1034,6,79.0
1035,1,77.0
1035,2,72.0
1035,3,67.0
1035,4,40.0
1035,5,94.0
1035,6,47.0
1036,1,76.0
1036,2,71.0
1036,3,99.0
1036,4,87.0
1036,5,82.0
1036,6,76.0
1037,1,43.0
1037,2,69.0
1037,3,45.0
1037,4,85.0
1037,5,93.0
1037,6,58.0
1038,1,71.0
1038,2,48.0
1038,3,51.0
1038,4,50.0
1038,5,85.0
1038,6,94.0
1039,1,55.0
1039,2,40.0
1039,3,84.0
1039,4,94.0
1039,5,92.0
1039,6,60.0
1040,1,69.0
1040,2,52.0
1040,3,73.0
1040,4,43.0
1040,5,67.0
1040,6,77.0
1041,1,97.0
1041,2,70.0
1041,3,98.0
1041,4,94.0
1041,5,66.0
1041,6,44.0
1042,1,64.0
1042,2,42.0
1042,3,72.0
1042,4,43.0
1042,5,64.0
1042,6,59.0
1043,1,73.0
1043,2,65.0
1043,3,44.0
1043,4,74.0
1043,5,67.0
1043,6,68.0
1044,1,48.0
1044,2,91.0
1044,3,77.0
1044,4,89.0
1044,5,45.0
1044,6,58.0
1045,1,99.0
1045,2,83.0
1045,3,96.0
1045,4,50.0
1045,5,41.0
1045,6,86.0
1046,1,83.0
1046,2,83.0
1046,3,48.0
1046,4,60.0
1046,5,63.0
1046,6,73.0
1047,1,61.0
1047,2,42.0
1047,3,51.0
1047,4,67.0
1047,5,69.0
1047,6,65.0
1048,1,87.0
1048,2,60.0
1048,3,67.0
1048,4,95.0
1048,5,65.0
1048,6,72.0
1049,1,60.0
1049,2,74.0
1049,3,91.0
1049,4,73.0
1049,5,80.0
1049,6,90.0
1050,1,86.0
1050,2,57.0
1050,3,97.0
1050,4,50.0
1050,5,96.0
1050,6,62.0
1051,1,87.0
1051,2,61.0
1051,3,56.0
1051,4,44.0
1051,5,83.0
1051,6,50.0
